# clingo

5;0:01:47.07;7.75;7;3;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.07;7.75;7;2;0:01:46.62;0:01:50.03;0:06:58.62
6;0:03:02.51;0.0;0;0;?;0:10:00.00;0:06:58.62
6;0:03:02.51;1.5;1;1;?;0:10:00.00;0:06:58.62
6;0:03:02.51;3.0;2;1;?;0:10:00.00;0:06:58.62
6;0:03:02.51;3.75;3;1;?;0:10:00.00;0:06:58.62
6;0:03:02.51;6.75;4;2;?;0:10:00.00;0:06:58.62
6;0:03:02.51;9.75;5;3;?;0:10:00.00;0:06:58.62
6;0:03:02.51;12.75;6;4;?;0:10:00.00;0:06:58.62
6;0:03:02.52;17.625;12;7;?;0:10:00.00;0:06:58.62
6;0:03:02.53;17.625;12;6;?;0:10:00.00;0:06:58.62
7;0:00:31.62;0.0;0;0;0:00:31.24;0:00:31.81;0:06:58.62
7;0:00:31.62;3.0;1;1;0:00:31.24;0:00:31.81;0:06:58.62
7;0:00:31.71;12.0;4;4;0:00:31.24;0:00:31.81;0:06:58.62
8;;;;;?;0:10:00.00;0:06:58.62
9;0:02:13.14;0.0;0;0;0:02:12.74;0:02:12.78;0:06:58.62
10;0:02:10.76;0.0;0;0;0:02:10.37;0:09:56.53;0:06:58.62
10;0:02:10.77;1.5;1;1;0:02:10.37;0:09:56.53;0:06:58.62
10;0:02:10.77;2.5;2;1;0:02:10.37;0:09:56.53;0:06:58.62
10;0:02:10.77;3.25;3;1;0:02:10.37;0:09:56.53;0:06:58.62
10;0:02:10.77;5.0;6;3;0:02:10.37;0:09:56.53;0:06:58.62
10;0:02:10.78;5.0;6;2;0:02:10.37;0:09:56.53;0:06:58.62
11;;;;;?;0:10:00.00;0:06:58.62
12;0:00:02.24;0.0;0;0;0:00:01.84;0:00:02.06;0:06:58.62
12;0:00:02.24;3.0;1;1;0:00:01.84;0:00:02.06;0:06:58.62
12;0:00:02.24;6.0;2;2;0:00:01.84;0:00:02.06;0:06:58.62
12;0:00:02.25;9.0;3;3;0:00:01.84;0:00:02.06;0:06:58.62
12;0:00:02.28;12.0;4;4;0:00:01.84;0:00:02.06;0:06:58.62
13;0:04:04.12;0.0;0;0;?;0:10:00.00;0:06:58.62
13;0:04:04.12;1.5;1;1;?;0:10:00.00;0:06:58.62
13;0:04:04.12;3.0;2;1;?;0:10:00.00;0:06:58.62
13;0:04:04.13;4.5;3;2;?;0:10:00.00;0:06:58.62
13;0:04:04.13;6.0;4;2;?;0:10:00.00;0:06:58.62
